temperature,year,statistics,country,iso3
0.1,1991,JanAverage,Afghanistan,AFG
1.4,1991,FebAverage,Afghanistan,AFG
6.9,1991,MarAverage,Afghanistan,AFG
12.9,1991,AprAverage,Afghanistan,AFG
17.0,1991,MayAverage,Afghanistan,AFG
22.9,1991,JunAverage,Afghanistan,AFG
25.6,1991,JulAverage,Afghanistan,AFG
23.9,1991,AugAverage,Afghanistan,AFG
19.3,1991,SepAverage,Afghanistan,AFG
12.8,1991,OctAverage,Afghanistan,AFG
7.2,1991,NovAverage,Afghanistan,AFG
4.1,1991,DecAverage,Afghanistan,AFG
0.7,1992,JanAverage,Afghanistan,AFG
2.5,1992,FebAverage,Afghanistan,AFG
5.7,1992,MarAverage,Afghanistan,AFG
11.7,1992,AprAverage,Afghanistan,AFG
16.2,1992,MayAverage,Afghanistan,AFG
22.9,1992,JunAverage,Afghanistan,AFG
24.6,1992,JulAverage,Afghanistan,AFG
22.8,1992,AugAverage,Afghanistan,AFG
17.9,1992,SepAverage,Afghanistan,AFG
12.7,1992,OctAverage,Afghanistan,AFG
8.1,1992,NovAverage,Afghanistan,AFG
4.4,1992,DecAverage,Afghanistan,AFG
-0.3,1993,JanAverage,Afghanistan,AFG
4.2,1993,FebAverage,Afghanistan,AFG
6.2,1993,MarAverage,Afghanistan,AFG
13.5,1993,AprAverage,Afghanistan,AFG
18.7,1993,MayAverage,Afghanistan,AFG
23.0,1993,JunAverage,Afghanistan,AFG
24.7,1993,JulAverage,Afghanistan,AFG
23.4,1993,AugAverage,Afghanistan,AFG
19.5,1993,SepAverage,Afghanistan,AFG
12.0,1993,OctAverage,Afghanistan,AFG
7.3,1993,NovAverage,Afghanistan,AFG
3.3,1993,DecAverage,Afghanistan,AFG
1.1,1994,JanAverage,Afghanistan,AFG
1.3,1994,FebAverage,Afghanistan,AFG
9.0,1994,MarAverage,Afghanistan,AFG
12.2,1994,AprAverage,Afghanistan,AFG
18.7,1994,MayAverage,Afghanistan,AFG
23.8,1994,JunAverage,Afghanistan,AFG
24.9,1994,JulAverage,Afghanistan,AFG
24.4,1994,AugAverage,Afghanistan,AFG
17.1,1994,SepAverage,Afghanistan,AFG
12.4,1994,OctAverage,Afghanistan,AFG
9.4,1994,NovAverage,Afghanistan,AFG
2.3,1994,DecAverage,Afghanistan,AFG
0.8,1995,JanAverage,Afghanistan,AFG
2.9,1995,FebAverage,Afghanistan,AFG
6.4,1995,MarAverage,Afghanistan,AFG
12.2,1995,AprAverage,Afghanistan,AFG
18.0,1995,MayAverage,Afghanistan,AFG
23.5,1995,JunAverage,Afghanistan,AFG
25.6,1995,JulAverage,Afghanistan,AFG
24.3,1995,AugAverage,Afghanistan,AFG
19.0,1995,SepAverage,Afghanistan,AFG
13.5,1995,OctAverage,Afghanistan,AFG
7.8,1995,NovAverage,Afghanistan,AFG
1.8,1995,DecAverage,Afghanistan,AFG
-0.5,1996,JanAverage,Afghanistan,AFG
2.7,1996,FebAverage,Afghanistan,AFG
7.4,1996,MarAverage,Afghanistan,AFG
13.2,1996,AprAverage,Afghanistan,AFG
17.2,1996,MayAverage,Afghanistan,AFG
22.7,1996,JunAverage,Afghanistan,AFG
25.1,1996,JulAverage,Afghanistan,AFG
23.3,1996,AugAverage,Afghanistan,AFG
20.1,1996,SepAverage,Afghanistan,AFG
12.8,1996,OctAverage,Afghanistan,AFG
5.6,1996,NovAverage,Afghanistan,AFG
3.1,1996,DecAverage,Afghanistan,AFG
0.9,1997,JanAverage,Afghanistan,AFG
2.2,1997,FebAverage,Afghanistan,AFG
7.0,1997,MarAverage,Afghanistan,AFG
12.4,1997,AprAverage,Afghanistan,AFG
16.4,1997,MayAverage,Afghanistan,AFG
23.2,1997,JunAverage,Afghanistan,AFG
25.8,1997,JulAverage,Afghanistan,AFG
23.8,1997,AugAverage,Afghanistan,AFG
19.8,1997,SepAverage,Afghanistan,AFG
13.5,1997,OctAverage,Afghanistan,AFG
5.9,1997,NovAverage,Afghanistan,AFG
2.1,1997,DecAverage,Afghanistan,AFG
0.3,1998,JanAverage,Afghanistan,AFG
1.7,1998,FebAverage,Afghanistan,AFG
6.8,1998,MarAverage,Afghanistan,AFG
14.8,1998,AprAverage,Afghanistan,AFG
18.3,1998,MayAverage,Afghanistan,AFG
22.9,1998,JunAverage,Afghanistan,AFG
25.7,1998,JulAverage,Afghanistan,AFG
24.3,1998,AugAverage,Afghanistan,AFG
19.7,1998,SepAverage,Afghanistan,AFG
14.1,1998,OctAverage,Afghanistan,AFG
7.7,1998,NovAverage,Afghanistan,AFG
4.4,1998,DecAverage,Afghanistan,AFG
0.8,1999,JanAverage,Afghanistan,AFG
4.8,1999,FebAverage,Afghanistan,AFG
7.7,1999,MarAverage,Afghanistan,AFG
14.5,1999,AprAverage,Afghanistan,AFG
19.0,1999,MayAverage,Afghanistan,AFG
24.0,1999,JunAverage,Afghanistan,AFG
25.7,1999,JulAverage,Afghanistan,AFG
24.7,1999,AugAverage,Afghanistan,AFG
20.7,1999,SepAverage,Afghanistan,AFG
14.8,1999,OctAverage,Afghanistan,AFG
8.1,1999,NovAverage,Afghanistan,AFG
3.7,1999,DecAverage,Afghanistan,AFG
1.2,2000,JanAverage,Afghanistan,AFG
1.9,2000,FebAverage,Afghanistan,AFG
7.4,2000,MarAverage,Afghanistan,AFG
16.3,2000,AprAverage,Afghanistan,AFG
21.6,2000,MayAverage,Afghanistan,AFG
23.1,2000,JunAverage,Afghanistan,AFG
25.2,2000,JulAverage,Afghanistan,AFG
24.0,2000,AugAverage,Afghanistan,AFG
